"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","J.Flacco","","28","0.313","0.612","0.612","53.6%","78.3","66.5","11.8","6.7"
"2","T.Romo","","28","0.265","0.478","0.478","60.7%","72.0","61.9","10.1","11.1"
"3","P.Manning","","38","0.294","0.443","0.443","60.5%","80.0","62.8","17.2","8.3"
"4","A.Rodgers","","35","0.216","0.418","0.418","54.3%","65.5","61.0","4.5","10.7"
"5","K.Orton","","36","0.234","0.384","0.384","58.3%","77.4","67.9","9.6","7.0"
"6","E.Manning","","42","0.240","0.400","0.348","52.4%","76.3","66.6","9.7","4.6"
"7","R.Tannehill","","42","0.219","0.348","0.300","61.9%","72.2","63.5","8.8","6.5"
"8","D.Brees","","54","0.213","0.279","0.208","61.1%","79.5","67.9","11.6","7.1"
"9","C.Kaepernick","","39","0.162","0.171","0.171","48.7%","69.0","59.1","9.9","13.0"
"10","T.Brady","","58","0.118","0.142","0.142","50.0%","71.7","67.8","3.9","6.0"
"11","M.Sanchez","","48","0.120","0.126","0.111","50.0%","71.4","66.1","5.3","7.1"
"12","R.Wilson","","37","0.169","0.091","0.091","43.2%","81.0","64.4","16.6","7.0"
"13","D.Carr","","40","-0.007","0.060","0.060","40.0%","51.4","64.7","-13.2","7.7"
"14","B.Hoyer","","45","0.056","0.108","0.046","55.6%","59.0","64.1","-5.1","9.9"
"15","M.Ryan","","50","0.059","0.055","0.046","48.0%","62.8","63.9","-1.1","10.1"
"16","A.Dalton","","43","0.105","0.110","0.022","55.8%","68.6","64.9","3.7","6.2"
"17","Z.Mettenberger","","48","-0.002","-0.008","-0.008","37.5%","52.6","60.7","-8.0","8.4"
"18","P.Rivers","","41","0.183","0.150","-0.010","61.0%","87.9","72.8","15.1","3.9"
"19","A.Smith","","42","-0.012","-0.016","-0.016","35.7%","58.8","68.3","-9.5","4.6"
"20","T.Bridgewater","","47","0.004","-0.059","-0.059","48.9%","58.3","63.0","-4.6","8.9"
"21","M.Stafford","","57","-0.080","-0.083","-0.083","36.8%","40.0","59.3","-19.3","10.3"
"22","A.Luck","","45","0.049","-0.076","-0.128","51.1%","65.6","61.8","3.9","8.8"
"23","J.McCown","","57","-0.012","-0.115","-0.152","38.6%","52.1","58.6","-6.5","9.9"
"24","D.Stanton","","38","0.006","-0.190","-0.190","36.8%","53.8","57.3","-3.5","9.5"
"25","R.Mallett","","47","-0.061","-0.184","-0.206","34.0%","48.8","64.4","-15.6","7.6"
"26","S.Hill","","41","-0.018","-0.220","-0.298","39.0%","52.9","61.1","-8.2","8.3"
"27","G.Smith","","17","0.115","-0.385","-0.385","35.3%","83.3","68.7","14.6","8.8"
"28","J.Cutler","","30","-0.020","-0.446","-0.446","23.3%","63.0","73.5","-10.6","4.0"
"29","B.Bortles","","35","-0.052","-0.441","-0.515","34.3%","55.6","71.9","-16.3","2.4"
"30","R.Griffin III","","30","-0.004","-0.554","-0.557","30.0%","57.9","66.4","-8.6","8.4"
"31","M.Vick","","26","-0.085","-0.709","-0.725","15.4%","38.9","63.5","-24.6","9.7"
