"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","L.Jackson","","606","0.191","0.344","0.342","51.8%","68.7","64.8","3.8","8.8"
"2","P.Mahomes","","595","0.171","0.306","0.302","51.8%","67.9","65.4","2.5","8.8"
"3","D.Brees","","410","0.168","0.240","0.238","54.1%","77.0","70.9","6.1","6.6"
"4","R.Tannehill","","360","0.190","0.275","0.232","55.3%","72.3","64.6","7.7","9.7"
"5","M.Stafford","","336","0.140","0.224","0.211","50.0%","65.8","63.8","2.1","10.4"
"6","D.Prescott","","698","0.133","0.222","0.210","52.9%","67.4","66.4","1.0","9.3"
"7","K.Cousins","","525","0.148","0.214","0.199","48.4%","72.9","68.5","4.4","7.7"
"8","D.Watson","","644","0.129","0.197","0.184","50.3%","68.9","67.0","2.0","8.7"
"9","J.Garoppolo","","574","0.136","0.210","0.177","51.2%","70.8","68.4","2.4","6.5"
"10","D.Carr","","581","0.142","0.178","0.154","49.4%","75.1","69.4","5.7","6.6"
"11","R.Wilson","","667","0.147","0.173","0.150","49.9%","69.2","62.2","7.0","9.3"
"12","A.Rodgers","","678","0.101","0.144","0.136","45.7%","65.6","65.0","0.7","8.9"
"13","P.Rivers","","679","0.120","0.148","0.114","50.8%","68.3","64.6","3.7","8.8"
"14","D.Lock","","189","0.084","0.120","0.104","45.0%","65.8","66.6","-0.8","6.7"
"15","T.Brady","","693","0.075","0.116","0.100","44.0%","64.3","66.4","-2.1","7.8"
"16","J.Winston","","752","0.098","0.137","0.097","49.1%","62.9","62.2","0.7","10.6"
"17","C.Wentz","","738","0.077","0.098","0.089","49.3%","65.1","65.7","-0.6","8.0"
"18","T.Bridgewater","","238","0.078","0.086","0.084","45.4%","71.1","70.7","0.4","6.2"
"19","R.Fitzpatrick","","620","0.080","0.106","0.084","48.7%","63.1","63.6","-0.5","9.1"
"20","J.Brissett","","555","0.064","0.103","0.084","47.6%","64.2","67.4","-3.3","7.9"
"21","J.Goff","","712","0.075","0.109","0.079","46.3%","64.9","66.7","-1.8","7.9"
"22","M.Ryan","","729","0.091","0.100","0.072","47.7%","69.2","67.4","1.8","8.3"
"23","J.Allen","","624","0.055","0.053","0.043","44.9%","62.4","64.1","-1.6","9.5"
"24","K.Murray","","707","0.056","0.055","0.038","44.6%","67.5","69.0","-1.5","7.4"
"25","B.Mayfield","","649","0.049","0.057","0.036","44.2%","61.8","64.7","-3.0","8.5"
"26","C.Keenum","","287","0.054","0.044","0.017","47.4%","66.7","67.8","-1.1","6.9"
"27","M.Mariota","","218","0.029","0.012","0.012","40.4%","64.2","67.7","-3.6","7.4"
"28","A.Dalton","","613","0.039","0.033","0.005","44.4%","62.3","65.6","-3.3","8.2"
"29","G.Minshew II","","594","0.031","0.021","0.003","42.9%","63.2","67.0","-3.8","7.4"
"30","M.Rudolph","","333","0.041","0.009","0.002","41.7%","64.2","65.5","-1.2","8.2"
"31","S.Darnold","","524","0.048","-0.008","-0.021","42.9%","65.9","64.9","1.0","8.7"
"32","D.Jones","","573","0.039","0.015","-0.021","43.6%","63.5","65.5","-1.9","8.0"
"33","M.Trubisky","","625","0.026","-0.022","-0.033","44.6%","64.8","67.1","-2.3","7.9"
"34","K.Allen","","581","0.037","-0.008","-0.037","47.3%","65.4","66.4","-1.0","8.4"
"35","J.Flacco","","314","0.037","-0.023","-0.044","43.6%","68.4","68.6","-0.2","6.8"
"36","E.Manning","","162","0.020","-0.038","-0.052","42.6%","64.5","67.1","-2.6","8.2"
"37","D.Hodges","","201","0.044","-0.045","-0.070","42.3%","69.4","67.3","2.1","7.5"
"38","D.Blough","","211","-0.051","-0.149","-0.178","37.9%","56.0","69.5","-13.6","8.5"
"39","D.Haskins","","258","-0.002","-0.151","-0.185","40.3%","60.7","65.4","-4.7","8.7"
