"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","SEA","-0.151","39.6%","-0.163","42.0%","-0.129","35.5%"
"2","","CIN","-0.100","39.6%","-0.083","43.3%","-0.134","32.5%"
"3","","CAR","-0.094","42.1%","-0.060","44.9%","-0.164","36.4%"
"4","","ARI","-0.088","41.2%","-0.033","44.1%","-0.204","35.2%"
"5","","SF","-0.078","41.4%","-0.038","43.4%","-0.148","38.0%"
"6","","BUF","-0.074","38.2%","-0.061","40.1%","-0.093","35.2%"
"7","","NYG","-0.063","40.9%","-0.003","45.3%","-0.159","34.0%"
"8","","KC","-0.050","38.9%","-0.017","41.8%","-0.110","33.7%"
"9","","NO","-0.033","39.6%","-0.035","41.7%","-0.030","36.1%"
"10","","BAL","-0.028","39.9%","0.042","42.6%","-0.136","35.7%"
"11","","LA","-0.014","44.2%","0.066","49.4%","-0.137","36.3%"
"12","","DET","-0.011","39.5%","0.075","43.6%","-0.174","31.8%"
"13","","DEN","-0.005","41.3%","0.086","44.3%","-0.175","35.6%"
"14","","PIT","-0.002","40.8%","0.021","43.7%","-0.039","36.4%"
"15","","NE","0.001","42.6%","0.043","44.2%","-0.061","40.2%"
"16","","MIA","0.002","43.6%","0.025","44.2%","-0.033","42.7%"
"17","","PHI","0.003","45.5%","0.107","49.2%","-0.190","38.6%"
"18","","NYJ","0.004","38.8%","0.119","44.8%","-0.190","28.5%"
"19","","CLE","0.009","42.2%","0.076","45.6%","-0.099","36.6%"
"20","","TEN","0.016","44.4%","0.068","47.6%","-0.065","39.5%"
"21","","IND","0.017","42.5%","0.087","44.7%","-0.091","39.0%"
"22","","TB","0.020","42.6%","0.123","47.8%","-0.145","34.4%"
"23","","WAS","0.036","45.3%","0.103","49.6%","-0.061","39.1%"
"24","","HOU","0.041","40.4%","0.175","46.6%","-0.136","32.3%"
"25","","DAL","0.071","47.8%","0.135","50.7%","-0.036","42.8%"
"26","","GB","0.077","45.0%","0.115","46.4%","0.019","42.9%"
"27","","LV","0.079","44.8%","0.184","48.5%","-0.082","38.9%"
"28","","MIN","0.079","45.3%","0.185","49.5%","-0.108","37.9%"
"29","","JAX","0.083","44.8%","0.164","46.9%","-0.028","42.0%"
"30","","CHI","0.085","47.0%","0.072","48.5%","0.101","45.2%"
"31","","LAC","0.096","49.2%","0.141","49.4%","0.015","48.9%"
"32","","ATL","0.096","44.7%","0.187","49.3%","-0.031","38.3%"
