"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","DEN","0.205","50.2%","0.345","55.1%","-0.030","42.0%"
"2","","LAC","0.142","47.3%","0.290","53.5%","-0.052","39.2%"
"3","","NO","0.115","47.2%","0.209","50.6%","-0.077","40.2%"
"4","","PHI","0.100","46.4%","0.181","47.2%","-0.009","45.4%"
"5","","CHI","0.077","45.2%","0.164","50.5%","-0.072","36.1%"
"6","","GB","0.072","45.4%","0.116","48.3%","0.003","40.7%"
"7","","DAL","0.062","47.2%","0.087","48.2%","0.011","45.2%"
"8","","NE","0.062","46.8%","0.153","48.9%","-0.078","43.4%"
"9","","SEA","0.059","44.6%","0.190","49.2%","-0.101","39.1%"
"10","","CAR","0.051","42.2%","0.130","46.1%","-0.054","37.0%"
"11","","IND","0.048","44.7%","0.108","47.5%","-0.070","39.1%"
"12","","SF","0.034","41.7%","0.156","45.0%","-0.110","37.9%"
"13","","CIN","0.031","43.4%","0.109","47.1%","-0.087","37.8%"
"14","","KC","0.023","42.0%","0.074","44.9%","-0.065","37.0%"
"15","","TEN","0.020","42.3%","0.115","45.2%","-0.124","38.1%"
"16","","ATL","0.006","44.6%","0.066","47.7%","-0.137","37.1%"
"17","","PIT","-0.001","42.4%","0.095","47.5%","-0.172","33.4%"
"18","","DET","-0.004","43.1%","0.083","46.7%","-0.142","37.4%"
"19","","MIN","-0.017","41.4%","-0.026","42.9%","-0.002","38.9%"
"20","","ARI","-0.019","41.6%","0.036","46.5%","-0.109","33.8%"
"21","","MIA","-0.040","41.1%","0.009","44.0%","-0.138","35.1%"
"22","","WAS","-0.056","42.2%","-0.053","42.1%","-0.062","42.5%"
"23","","LV","-0.057","39.3%","-0.034","42.4%","-0.094","34.3%"
"24","","LA","-0.064","40.7%","-0.026","44.5%","-0.121","35.2%"
"25","","BUF","-0.074","39.7%","-0.107","41.6%","-0.032","37.3%"
"26","","CLE","-0.075","39.2%","-0.074","40.0%","-0.076","37.4%"
"27","","TB","-0.088","37.7%","-0.049","41.3%","-0.146","32.3%"
"28","","BAL","-0.098","36.2%","-0.005","40.9%","-0.263","28.0%"
"29","","NYJ","-0.104","37.7%","-0.105","40.7%","-0.101","33.8%"
"30","","HOU","-0.110","40.6%","-0.116","41.7%","-0.098","38.8%"
"31","","NYG","-0.142","40.2%","-0.087","43.5%","-0.235","34.4%"
"32","","JAX","-0.157","38.4%","-0.145","41.1%","-0.179","33.4%"
