"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Odell Beckham Jr.",BAL,"WR1","1","9","2.1","1.8","0"
"2",1,"Antonio Brown",FA,"WR2","2","8","4.0","1.4","+5"
"3",1,"David Johnson",FA,"RB1","1","13","5.0","2.6","-1"
"4",1,"Ezekiel Elliott",FA,"RB2","1","14","5.3","3.2","+1"
"5",1,"Le'Veon Bell",FA,"RB3","2","11","5.5","2.5","-1"
"6",1,"Mike Evans",TB,"WR3","1","16","5.6","4.1","-3"
"7",2,"Julio Jones",FA,"WR4","3","13","7.2","2.5","+1"
"8",2,"DeAndre Hopkins",ARI,"WR5","1","14","8.0","4.0","+3"
"9",2,"A.J. Green",FA,"WR6","8","18","10.6","2.4","0"
"10",2,"Todd Gurley II",FA,"RB4","1","28","11.9","5.9","+13"
"11",2,"Michael Thomas",NO,"WR7","6","25","12.3","4.3","-1"
"12",3,"Amari Cooper",CLE,"WR8","6","47","15.8","9.0","-6"
"13",3,"Brandin Cooks",DAL,"WR9","10","32","17.1","4.8","+3"
"14",3,"Melvin Gordon III",FA,"RB5","11","46","19.4","9.1","-2"
"15",3,"T.Y. Hilton",FA,"WR10","11","49","20.3","9.5","-2"
"16",3,"Devonta Freeman",FA,"RB6","11","33","20.4","5.9","+2"
"17",3,"Keenan Allen",LAC,"WR11","10","48","22.0","8.0","+10"
"18",3,"Allen Robinson II",PIT,"WR12","8","53","23.7","11.7","-3"
"19",3,"Rob Gronkowski",FA,"TE1","16","46","25.2","6.5","+1"
"20",4,"Sammy Watkins",FA,"WR13","12","60","26.2","12.6","-6"
"21",4,"Dez Bryant",FA,"WR14","14","57","27.2","11.0","-2"
"22",4,"Leonard Fournette",FA,"RB7","8","48","19.9","9.2","0"
"23",4,"Stefon Diggs",BUF,"WR15","13","77","32.4","15.2","+15"
"24",4,"Alshon Jeffery",FA,"WR16","16","60","32.4","9.9","+9"
"25",4,"Doug Baldwin",FA,"WR17","18","82","32.4","13.1","+4"
"26",4,"Travis Kelce",KC,"TE2","23","64","33.8","9.3","+5"
"27",4,"Aaron Rodgers",NYJ,"QB1","21","48","34.5","7.9","+5"
