"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","23","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","11","21","4 out of 5 stars","+1"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","23","4 out of 5 stars","-1"
"4",1,"Jonathan Taylor",IND,"RB2","11","24","3 out of 5 stars","+1"
"5",1,"CeeDee Lamb",DAL,"WR3","7","24","2 out of 5 stars","-1"
"6",1,"Breece Hall",NYJ,"RB3","7","21","3 out of 5 stars","+3"
"7",2,"A.J. Brown",PHI,"WR4","10","25","3 out of 5 stars","0"
"8",2,"Christian McCaffrey",SF,"RB4","9","26","4 out of 5 stars","-2"
"9",2,"Saquon Barkley",NYG,"RB5","13","26","2 out of 5 stars","+2"
"10",2,"Jaylen Waddle",MIA,"WR5","10","24","3 out of 5 stars","0"
"11",2,"Garrett Wilson",NYJ,"WR6","7","22","3 out of 5 stars","+8"
"12",2,"Amon-Ra St. Brown",DET,"WR7","9","23","3 out of 5 stars","+1"
"13",3,"Travis Etienne Jr.",JAC,"RB6","9","24","2 out of 5 stars","+17"
"14",3,"Jahmyr Gibbs",DET,"RB7","9","21","5 out of 5 stars","+2"
"15",3,"Chris Olave",NO,"WR8","11","22","4 out of 5 stars","+9"
"16",3,"Kyle Pitts",ATL,"TE1","11","22","3 out of 5 stars","+21"
"17",3,"Tyreek Hill",MIA,"WR9","10","29","3 out of 5 stars","-2"
"18",3,"Tee Higgins",CIN,"WR10","7","24","4 out of 5 stars","+2"
"19",3,"Stefon Diggs",BUF,"WR11","13","29","2 out of 5 stars","-7"
"20",3,"DeVonta Smith",PHI,"WR12","10","24","3 out of 5 stars","+13"
"21",3,"Kenneth Walker III",SEA,"RB8","5","22","2 out of 5 stars","+1"
"22",3,"Josh Jacobs",LV,"RB9","13","25","3 out of 5 stars","+7"
"23",3,"Tony Pollard",DAL,"RB10","7","26","3 out of 5 stars","+16"
"24",4,"DK Metcalf",SEA,"WR13","5","25","3 out of 5 stars","+3"
"25",4,"Drake London",ATL,"WR14","11","21","4 out of 5 stars","+9"
"26",4,"Cooper Kupp",LAR,"WR15","10","29","3 out of 5 stars","-8"
"27",4,"Davante Adams",LV,"WR16","13","30","2 out of 5 stars","+1"
"28",4,"Jaxon Smith-Njigba",SEA,"WR17","5","21","3 out of 5 stars","-2"
"29",4,"Mark Andrews",BAL,"TE2","13","27","4 out of 5 stars","+3"
"30",4,"Travis Kelce",KC,"TE3","10","33","4 out of 5 stars","-5"
"31",4,"Austin Ekeler",LAC,"RB11","5","28","3 out of 5 stars","-14"
"32",4,"Patrick Mahomes II",KC,"QB1","10","27","3 out of 5 stars","-24"
"33",4,"DJ Moore",CHI,"WR18","13","26","3 out of 5 stars","+21"
"34",5,"Chris Godwin",TB,"WR19","5","27","4 out of 5 stars","+14"
"35",5,"Najee Harris",PIT,"RB12","6","25","3 out of 5 stars","-12"
"36",5,"Christian Watson",GB,"WR20","6","24","3 out of 5 stars","+15"
"37",5,"Rhamondre Stevenson",NE,"RB13","11","25","2 out of 5 stars","+12"
"38",5,"Michael Pittman Jr.",IND,"WR21","11","25","4 out of 5 stars","+6"
"39",5,"Nick Chubb",CLE,"RB14","5","27","3 out of 5 stars","-4"
"40",5,"Deebo Samuel",SF,"WR22","9","27","3 out of 5 stars","-4"
"41",5,"Josh Allen",BUF,"QB2","13","27","3 out of 5 stars","-27"
"42",5,"Jordan Addison",MIN,"WR23","13","21","3 out of 5 stars","+3"
"43",5,"Javonte Williams",DEN,"RB15","9","23","4 out of 5 stars","-3"
"44",5,"Dameon Pierce",HOU,"RB16","7","23","3 out of 5 stars","+22"
"45",5,"Jerry Jeudy",DEN,"WR24","9","24","2 out of 5 stars","+15"
"46",5,"Terry McLaurin",WAS,"WR25","14","27","3 out of 5 stars","+10"
"47",5,"Treylon Burks",TEN,"WR26","7","23","3 out of 5 stars","+18"
"48",5,"Brandon Aiyuk",SF,"WR27","9","25","3 out of 5 stars","+14"
"49",5,"Jalen Hurts",PHI,"QB3","10","24","3 out of 5 stars","-28"
"50",5,"Quentin Johnston",LAC,"WR28","5","21","3 out of 5 stars","-4"
"51",5,"Jahan Dotson",WAS,"WR29","14","23","3 out of 5 stars","+35"
"52",6,"Jameson Williams",DET,"WR30","9","22","3 out of 5 stars","+17"
"53",6,"J.K. Dobbins",BAL,"RB17","13","24","3 out of 5 stars","-3"
"54",6,"T.J. Hockenson",MIN,"TE4","13","25","3 out of 5 stars","-2"
"55",6,"Derrick Henry",TEN,"RB18","7","29","4 out of 5 stars","-17"
"56",6,"Marquise Brown",ARI,"WR31","14","25","3 out of 5 stars","+18"
"57",6,"Rachaad White",TB,"RB19","5","24","3 out of 5 stars","0"
"58",6,"George Pickens",PIT,"WR32","6","22","3 out of 5 stars","+10"
"59",6,"Zay Flowers",BAL,"WR33","13","22","3 out of 5 stars","-4"
"60",6,"Joe Burrow",CIN,"QB4","7","26","3 out of 5 stars","-29"
"61",6,"D'Andre Swift",PHI,"RB20","10","24","1 out of 5 stars","-20"
"62",6,"Diontae Johnson",PIT,"WR34","6","26","3 out of 5 stars","+15"
"63",6,"Trevor Lawrence",JAC,"QB5","9","23","3 out of 5 stars","-2"
"64",6,"Christian Kirk",JAC,"WR35","9","26","4 out of 5 stars","+18"
"65",6,"Miles Sanders",CAR,"RB21","7","26","4 out of 5 stars","-2"
"66",6,"Amari Cooper",CLE,"WR36","5","28","3 out of 5 stars","+9"
"67",6,"Joe Mixon",CIN,"RB22","7","26","3 out of 5 stars","-14"
"68",6,"Calvin Ridley",JAC,"WR37","9","28","4 out of 5 stars","+11"
"69",6,"Cam Akers",LAR,"RB23","10","23","3 out of 5 stars","+7"
"70",6,"Aaron Jones",GB,"RB24","6","28","4 out of 5 stars","-3"
"71",6,"George Kittle",SF,"TE5","9","29","3 out of 5 stars","-24"
"72",6,"Dallas Goedert",PHI,"TE6","10","28","2 out of 5 stars","-1"
"73",6,"Justin Herbert",LAC,"QB6","5","25","3 out of 5 stars","-31"
"74",6,"Dalvin Cook",MIN,"RB25","13","27","5 out of 5 stars","-15"
"75",6,"Lamar Jackson",BAL,"QB7","13","26","3 out of 5 stars","-32"
"76",7,"DeAndre Hopkins",ARI,"WR38","14","30","3 out of 5 stars","+5"
"77",7,"Rashod Bateman",BAL,"WR39","13","23","3 out of 5 stars","+19"
"78",7,"Justin Fields",CHI,"QB8","13","24","5 out of 5 stars","-20"
"79",7,"Isiah Pacheco",KC,"RB26","10","23","4 out of 5 stars","+5"
"80",7,"Mike Williams",LAC,"WR40","5","28","3 out of 5 stars","+12"
"81",7,"Pat Freiermuth",PIT,"TE7","6","24","4 out of 5 stars","+7"
"82",7,"Zach Charbonnet",SEA,"RB27","5","22","2 out of 5 stars","-4"
"83",7,"David Montgomery",DET,"RB28","9","25","5 out of 5 stars","+8"
"84",7,"Mike Evans",TB,"WR41","5","29","4 out of 5 stars","-20"
"85",7,"Dalton Kincaid",BUF,"TE8","13","23","3 out of 5 stars","-5"
"86",7,"Keenan Allen",LAC,"WR42","5","31","3 out of 5 stars","-16"
"87",7,"AJ Dillon",GB,"RB29","6","25","4 out of 5 stars","+6"
"88",7,"Alvin Kamara",NO,"RB30","11","27","4 out of 5 stars","-15"
"89",7,"James Cook",BUF,"RB31","13","23","2 out of 5 stars","-17"
"90",7,"Devon Achane",MIA,"RB32","10","21","1 out of 5 stars","-7"
"91",7,"Kadarius Toney",KC,"WR43","10","24","2 out of 5 stars","+23"
"92",7,"Kendre Miller",NO,"RB33","11","20","4 out of 5 stars","-7"
"93",7,"Elijah Moore",CLE,"WR44","5","23","3 out of 5 stars","+27"
"94",8,"Deshaun Watson",CLE,"QB9","5","27","2 out of 5 stars","+3"
"95",8,"Brian Robinson Jr.",WAS,"RB34","14","24","3 out of 5 stars","-1"
"96",8,"Tyler Lockett",SEA,"WR45","5","30","3 out of 5 stars","+9"
"97",8,"Khalil Herbert",CHI,"RB35","13","25","5 out of 5 stars","+24"
"98",8,"Courtland Sutton",DEN,"WR46","9","27","2 out of 5 stars","+10"
"99",8,"Kyler Murray",ARI,"QB10","14","25","2 out of 5 stars","-10"
"100",8,"David Njoku",CLE,"TE9","5","26","3 out of 5 stars","+15"
"101",8,"Dak Prescott",DAL,"QB11","7","29","2 out of 5 stars","-6"
"102",8,"Gabe Davis",BUF,"WR47","13","24","2 out of 5 stars","+11"
"103",8,"Anthony Richardson",IND,"QB12","11","21","4 out of 5 stars","-16"
"104",8,"Greg Dulcich",DEN,"TE10","9","23","4 out of 5 stars","+30"
"105",8,"James Conner",ARI,"RB36","14","28","3 out of 5 stars","-5"
"106",8,"Marvin Mims Jr.",DEN,"WR48","9","21","2 out of 5 stars","-4"
"107",8,"Darren Waller",NYG,"TE11","13","30","1 out of 5 stars","-6"
"108",8,"JuJu Smith-Schuster",NE,"WR49","11","26","2 out of 5 stars","+1"
"109",8,"Roschon Johnson",CHI,"RB37","13","22","5 out of 5 stars","+2"
"110",8,"Antonio Gibson",WAS,"RB38","14","24","3 out of 5 stars","+8"
"111",8,"Evan Engram",JAC,"TE12","9","28","2 out of 5 stars","+5"
"112",8,"Bryce Young",CAR,"QB13","7","21","4 out of 5 stars","-2"
"113",8,"Jakobi Meyers",LV,"WR50","13","26","2 out of 5 stars","+22"
"114",8,"Josh Downs",IND,"WR51","11","21","4 out of 5 stars","-11"
"115",8,"Michael Mayer",LV,"TE13","13","21","5 out of 5 stars","-17"
"116",8,"C.J. Stroud",HOU,"QB14","7","21","3 out of 5 stars","+78"
"117",8,"Jayden Reed",GB,"WR52","6","23","3 out of 5 stars","-13"
"118",8,"Tua Tagovailoa",MIA,"QB15","10","25","2 out of 5 stars","-6"
"119",8,"Alexander Mattison",MIN,"RB39","13","24","5 out of 5 stars","+7"
"120",8,"Sam LaPorta",DET,"TE14","9","22","3 out of 5 stars","-3"
"121",8,"Rashee Rice",KC,"WR53","10","23","2 out of 5 stars","-22"
"122",8,"Tank Bigsby",JAC,"RB40","9","21","2 out of 5 stars","-3"
"123",8,"Jonathan Mingo",CAR,"WR54","7","22","4 out of 5 stars","-33"
"124",8,"Daniel Jones",NYG,"QB16","13","26","1 out of 5 stars","+8"
"125",8,"Chigoziem Okonkwo",TEN,"TE15","7","23","3 out of 5 stars","+29"
"126",8,"Darnell Mooney",CHI,"WR55","13","25","3 out of 5 stars","+10"
"127",8,"Brandin Cooks",DAL,"WR56","7","29","2 out of 5 stars","0"
"128",8,"Tyjae Spears",TEN,"RB41","7","21","4 out of 5 stars","-22"
"129",9,"Jamaal Williams",NO,"RB42","11","28","4 out of 5 stars","-5"
"130",9,"Damien Harris",BUF,"RB43","13","26","2 out of 5 stars","+12"
"131",9,"Tyler Allgeier",ATL,"RB44","11","23","4 out of 5 stars","-9"
"132",9,"Skyy Moore",KC,"WR57","10","22","2 out of 5 stars","-1"
"133",9,"Cole Kmet",CHI,"TE16","13","24","4 out of 5 stars","-8"
"134",9,"Wan'Dale Robinson",NYG,"WR58","13","22","3 out of 5 stars","-1"
"135",9,"Kirk Cousins",MIN,"QB17","13","34","4 out of 5 stars","+12"
"136",9,"Rashaad Penny",PHI,"RB45","10","27","1 out of 5 stars","+9"
"137",9,"Jalin Hyatt",NYG,"WR59","13","21","3 out of 5 stars","-14"
"138",9,"Elijah Mitchell",SF,"RB46","9","25","4 out of 5 stars","-8"
"139",9,"Dalton Schultz",HOU,"TE17","7","26","3 out of 5 stars","-32"
"140",9,"Rondale Moore",ARI,"WR60","14","22","3 out of 5 stars","+8"
"141",9,"Trey McBride",ARI,"TE18","14","23","2 out of 5 stars","+18"
"142",9,"Devin Singletary",HOU,"RB47","7","25","3 out of 5 stars","-4"
"143",9,"Alec Pierce",IND,"WR61","11","23","4 out of 5 stars","+9"
"144",9,"Geno Smith",SEA,"QB18","5","32","2 out of 5 stars","+49"
"145",9,"Jared Goff",DET,"QB19","9","28","4 out of 5 stars","+13"
"146",9,"Russell Wilson",DEN,"QB20","9","34","4 out of 5 stars","+4"
"147",9,"Kenny Pickett",PIT,"QB21","6","24","2 out of 5 stars","+20"
"148",9,"Nico Collins",HOU,"WR62","7","24","4 out of 5 stars","+36"
"149",9,"Trey Lance",SF,"QB22","9","23","3 out of 5 stars","-6"
"150",9,"Donovan Peoples-Jones",CLE,"WR63","5","24","3 out of 5 stars","+14"
"151",9,"Chase Brown",CIN,"RB48","7","23","3 out of 5 stars","-11"
"152",9,"Kenneth Gainwell",PHI,"RB49","10","24","1 out of 5 stars","+20"
"153",9,"Aaron Rodgers",NYJ,"QB23","7","39","2 out of 5 stars","+16"
"154",9,"Cedric Tillman",CLE,"WR64","5","23","3 out of 5 stars","-25"
"155",10,"Chase Claypool",CHI,"WR65","13","24","3 out of 5 stars","+13"
"156",10,"Samaje Perine",DEN,"RB50","9","27","4 out of 5 stars","+27"
"157",10,"Jordan Love",GB,"QB24","6","24","5 out of 5 stars","+44"
"158",10,"Derek Carr",NO,"QB25","11","32","5 out of 5 stars","+49"
