"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Arian Foster",FA,"RB1","1","4","1.6","0.8","0"
"2",1,"Ray Rice",FA,"RB2","1","3","1.7","0.6","0"
"3",1,"LeSean McCoy",FA,"RB3","1","4","2.9","0.7","0"
"4",1,"Calvin Johnson",FA,"WR1","3","8","4.6","1.4","+1"
"5",2,"Aaron Rodgers",NYJ,"QB1","4","12","6.1","1.7","-1"
"6",2,"Chris Johnson",FA,"RB4","4","19","7.8","3.6","0"
"7",2,"Darren McFadden",FA,"RB5","4","26","9.6","5.7","0"
"8",2,"Matt Forte",FA,"RB6","5","20","10.6","4.1","+3"
"9",2,"Tom Brady",FA,"QB2","5","19","11.3","3.6","-1"
"10",2,"Jimmy Graham",FA,"TE1","8","19","12.1","3.2","0"
"11",3,"Drew Brees",FA,"QB3","6","25","13.4","4.0","-2"
"12",3,"Larry Fitzgerald",FA,"WR2","6","23","13.6","4.5","+7"
"13",3,"Rob Gronkowski",FA,"TE2","10","26","16.4","4.5","0"
"14",3,"DeMarco Murray",FA,"RB7","7","37","16.9","8.1","-2"
"15",3,"Wes Welker",FA,"WR3","7","33","18.0","6.2","+11"
"16",4,"Roddy White",FA,"WR4","8","34","20.1","6.7","+19"
"17",4,"Julio Jones",FA,"WR5","8","37","20.1","7.8","+1"
"18",4,"A.J. Green",FA,"WR6","7","34","20.4","6.1","+10"
"19",4,"Ryan Mathews",FA,"RB8","4","42","20.9","10.2","+11"
"20",4,"Andre Johnson",FA,"WR7","9","32","20.9","6.1","+5"
"21",4,"Darren Sproles",FA,"RB9","11","44","23.1","7.4","+11"
"22",4,"Brandon Marshall",FA,"WR8","14","32","23.6","5.0","+7"
"23",4,"Maurice Jones-Drew",FA,"RB10","6","58","23.7","11.8","-9"
"24",4,"Greg Jennings",FA,"WR9","15","33","24.3","5.3","+7"
"25",4,"Jamaal Charles",FA,"RB11","13","40","25.1","7.6","-9"
"26",4,"Hakeem Nicks",FA,"WR10","16","38","26.7","6.4","+12"
"27",4,"Matthew Stafford",LAR,"QB4","14","34","26.8","4.6","-6"
"28",4,"Cam Newton",FA,"QB5","12","52","28.3","8.7","-11"
"29",5,"Percy Harvin",FA,"WR11","10","60","29.0","8.8","+14"
"30",5,"Trent Richardson",FA,"RB12","11","46","29.0","10.3","-8"
"31",5,"Victor Cruz",FA,"WR12","12","46","29.5","8.1","+2"
"32",5,"Steven Jackson",FA,"RB13","12","52","30.6","9.6","-9"
"33",5,"Marshawn Lynch",FA,"RB14","13","57","31.4","11.7","-13"
"34",5,"Jordy Nelson",FA,"WR13","21","47","33.9","6.1","+5"
"35",5,"Dez Bryant",FA,"WR14","20","47","38.0","6.3","+9"
"36",5,"Mike Wallace",FA,"WR15","20","61","38.5","10.3","+14"
"37",5,"Steve Smith",FA,"WR16","32","54","39.1","5.5","+12"
"38",5,"Marques Colston",FA,"WR17","29","63","39.5","7.6","+7"
