"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Adrian Peterson",FA,"RB1","1","12","2.2","2.0","0"
"2",1,"Eddie Lacy",FA,"RB2","1","8","3.0","1.4","+1"
"3",1,"Le'Veon Bell",FA,"RB3","1","15","3.4","2.6","-1"
"4",1,"Jamaal Charles",FA,"RB4","1","9","3.8","1.8","0"
"5",1,"Marshawn Lynch",FA,"RB5","2","14","5.3","2.2","0"
"6",2,"Antonio Brown",FA,"WR1","1","12","7.0","2.3","0"
"7",2,"Dez Bryant",FA,"WR2","3","14","8.4","2.2","0"
"8",2,"Rob Gronkowski",FA,"TE1","3","19","8.7","3.0","+4"
"9",2,"C.J. Anderson",FA,"RB6","2","21","9.8","4.3","+1"
"10",2,"Julio Jones",FA,"WR3","6","17","10.2","2.5","+6"
"11",2,"Demaryius Thomas",FA,"WR4","4","20","10.8","2.7","+3"
"12",3,"Odell Beckham Jr.",BAL,"WR5","6","27","12.8","3.2","+5"
"13",3,"Jeremy Hill",FA,"RB7","5","20","13.2","3.2","+2"
"14",3,"Calvin Johnson",FA,"WR6","7","25","13.8","3.1","+4"
"15",3,"Matt Forte",FA,"RB8","7","26","15.1","4.0","-6"
"16",3,"DeMarco Murray",FA,"RB9","4","30","15.2","4.9","-5"
"17",3,"A.J. Green",FA,"WR7","11","24","17.7","2.5","+4"
"18",3,"Randall Cobb",NYJ,"WR8","12","27","18.8","3.0","+2"
"19",4,"LeSean McCoy",FA,"RB10","3","44","20.5","6.3","0"
"20",4,"Andrew Luck",FA,"QB1","11","34","21.1","4.5","-12"
"21",4,"Justin Forsett",FA,"RB11","10","43","22.4","6.0","+2"
"22",4,"Aaron Rodgers",NYJ,"QB2","15","41","23.9","4.9","-9"
"23",4,"Alshon Jeffery",FA,"WR9","16","46","24.5","5.2","+1"
"24",4,"Lamar Miller",FA,"RB12","11","68","24.8","7.6","+2"
"25",4,"T.Y. Hilton",FA,"WR10","19","39","26.1","4.3","-3"
"26",4,"Frank Gore",FA,"RB13","14","50","27.4","7.4","+5"
"27",4,"Mark Ingram II",FA,"RB14","15","44","29.0","5.5","+1"
"28",4,"Mike Evans",TB,"WR11","18","45","26.4","5.3","-1"
"29",4,"Brandin Cooks",DAL,"WR12","20","48","30.0","5.2","+1"
"30",4,"DeAndre Hopkins",ARI,"WR13","21","54","30.4","6.0","+3"
"31",4,"Jordan Matthews",FA,"WR14","18","46","31.4","6.6","+6"
"32",5,"Latavius Murray",BUF,"RB15","24","87","36.4","8.4","+7"
"33",5,"Jimmy Graham",FA,"TE2","23","70","36.6","10.2","-8"
"34",5,"Emmanuel Sanders",FA,"WR15","23","62","37.2","8.5","-2"
"35",5,"Alfred Morris",FA,"RB16","18","72","37.3","11.2","+1"
"36",5,"Jonathan Stewart",FA,"RB17","22","80","39.8","10.1","+12"
"37",5,"Andre Johnson",FA,"WR16","25","80","42.4","9.7","+4"
"38",5,"Carlos Hyde",FA,"RB18","24","78","42.7","10.8","+2"
"39",5,"Melvin Gordon III",FA,"RB19","21","75","44.0","11.5","-1"
"40",5,"Andre Ellington",FA,"RB20","24","84","45.9","11.2","+6"
"41",5,"Russell Wilson",DEN,"QB3","23","86","47.0","12.8","-7"
"42",6,"Amari Cooper",CLE,"WR17","30","81","47.7","10.1","0"
"43",6,"Keenan Allen",LAC,"WR18","31","82","47.8","10.8","+7"
"44",6,"Greg Olsen",FA,"TE3","25","71","48.3","8.3","-1"
"45",6,"Peyton Manning",FA,"QB4","23","88","49.4","11.1","-16"
"46",6,"Brandon Marshall",FA,"WR19","30","91","50.8","9.5","+13"
"47",6,"Drew Brees",FA,"QB5","25","95","50.8","11.8","-12"
"48",6,"Golden Tate",FA,"WR20","31","74","52.6","9.0","-1"
"49",6,"Chris Ivory",FA,"RB21","27","103","53.5","18.8","+18"
"50",6,"Travis Kelce",KC,"TE4","32","94","53.5","12.0","-1"
"51",6,"Davante Adams",LV,"WR21","26","124","54.1","16.9","+11"
"52",6,"Ameer Abdullah",LV,"RB22","33","101","54.4","14.0","+16"
"53",6,"T.J. Yeldon",FA,"RB23","35","92","54.6","12.4","+10"
"54",6,"Julian Edelman",FA,"WR22","32","97","55.0","11.9","-9"
"55",6,"Jeremy Maclin",FA,"WR23","28","79","55.4","10.7","-4"
"56",6,"Doug Martin",FA,"RB24","27","95","55.5","15.2","+16"
"57",6,"DeSean Jackson",FA,"WR24","35","85","56.0","11.4","-4"
"58",6,"Ben Roethlisberger",FA,"QB6","35","96","57.1","12.8","-14"
"59",6,"Sammy Watkins",FA,"WR25","41","86","59.4","10.0","-2"
"60",6,"LeGarrette Blount",FA,"RB25","33","103","61.0","15.9","+9"
"61",6,"Allen Robinson II",PIT,"WR26","37","155","61.6","15.4","+18"
"62",6,"Arian Foster",FA,"RB26","24","171","62.4","28.7","-7"
"63",7,"Vincent Jackson",FA,"WR27","43","90","64.7","11.5","+3"
"64",7,"Matt Ryan",FA,"QB7","41","111","66.2","11.9","-10"
"65",7,"Jarvis Landry",FA,"WR28","29","102","67.0","16.3","-5"
"66",7,"Tony Romo",FA,"QB8","38","118","68.0","13.2","-10"
"67",7,"Tom Brady",FA,"QB9","41","131","68.4","17.9","-9"
"68",7,"C.J. Spiller",FA,"RB27","35","147","69.5","18.4","+8"
"69",7,"Martellus Bennett",FA,"TE5","49","112","69.9","11.9","-8"
"70",7,"Todd Gurley II",FA,"RB28","38","137","69.7","18.1","-5"
"71",7,"Joseph Randle",FA,"RB29","29","181","70.8","26.3","-19"
"72",7,"Ryan Tannehill",TEN,"QB10","55","134","74.4","12.5","+15"
