"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"QB1","1","6","2.1","0.8","-"
"2",1,"Josh Allen",BUF,"QB2","1","14","3.5","2.1","-"
"3",1,"Jonathan Taylor",IND,"RB1","1","16","5.3","3.7","-"
"4",1,"Christian McCaffrey",SF,"RB2","1","24","5.6","6.2","-"
"5",1,"Kyler Murray",ARI,"QB3","2","28","6.8","4.2","-"
"6",2,"Dalvin Cook",MIN,"RB3","4","42","12.5","9.7","-"
"7",2,"Lamar Jackson",BAL,"QB4","3","26","12.6","5.8","-"
"8",2,"Justin Herbert",LAC,"QB5","3","35","13.1","7.0","-"
"9",2,"Justin Jefferson",MIN,"WR1","1","33","13.2","7.0","-"
"10",2,"Alvin Kamara",NO,"RB4","4","34","13.4","7.2","-"
"11",3,"Dak Prescott",DAL,"QB6","3","35","15.3","7.8","-"
"12",3,"Tyreek Hill",MIA,"WR2","7","37","15.5","6.8","-"
"13",3,"A.J. Brown",PHI,"WR3","5","38","16.3","6.8","-"
"14",3,"Saquon Barkley",NYG,"RB5","4","61","16.7","13.4","-"
"15",3,"Davante Adams",LV,"WR4","7","39","17.9","8.2","-"
"16",3,"Najee Harris",PIT,"RB6","4","50","18.0","10.4","-"
"17",3,"D'Andre Swift",PHI,"RB7","4","60","20.8","12.0","-"
"18",3,"Nick Chubb",CLE,"RB8","7","52","21.1","8.5","-"
"19",3,"Joe Burrow",CIN,"QB7","3","44","21.8","9.6","-"
"20",3,"DK Metcalf",SEA,"WR5","9","45","21.9","9.1","-"
"21",4,"Stefon Diggs",BUF,"WR6","12","42","25.3","7.9","-"
"22",4,"Derrick Henry",TEN,"RB9","7","73","26.4","14.2","-"
"23",4,"CeeDee Lamb",DAL,"WR7","7","47","26.6","10.5","-"
"24",4,"Ja'Marr Chase",CIN,"WR8","4","91","27.8","20.1","-"
"25",4,"Antonio Gibson",WAS,"RB10","12","65","30.6","11.9","-"
"26",4,"Russell Wilson",DEN,"QB8","10","61","30.7","10.3","-"
"27",4,"Joe Mixon",CIN,"RB11","7","65","32.2","12.4","-"
"28",4,"Travis Kelce",KC,"TE1","14","75","32.7","18.2","-"
"29",4,"Austin Ekeler",LAC,"RB12","9","63","33.1","14.9","-"
"30",4,"Aaron Jones",GB,"RB13","13","94","35.5","17.9","-"
"31",4,"George Kittle",SF,"TE2","18","78","36.5","16.3","-"
"32",5,"Terry McLaurin",WAS,"WR9","23","59","39.4","7.0","-"
"33",5,"DeAndre Hopkins",ARI,"WR10","15","90","40.8","17.8","-"
"34",5,"Ezekiel Elliott",FA,"RB14","9","98","41.2","20.3","-"
"35",5,"DJ Moore",CHI,"WR11","25","59","42.0","6.5","-"
"36",5,"Calvin Ridley",JAC,"WR12","8","212","42.1","26.9","-"
"37",5,"Chris Godwin",TB,"WR13","22","79","42.7","8.6","-"
"38",5,"Kyle Pitts",ATL,"TE3","11","84","39.7","21.5","-"
"39",5,"J.K. Dobbins",BAL,"RB15","23","127","45.2","20.0","-"
"40",5,"Javonte Williams",DEN,"RB16","5","129","45.6","24.9","-"
"41",5,"Tee Higgins",CIN,"WR14","20","79","46.5","11.7","-"
"42",5,"Trevor Lawrence",JAC,"QB9","8","88","37.3","14.2","-"
"43",5,"Aaron Rodgers",NYJ,"QB10","23","76","43.6","10.8","-"
"44",5,"Cooper Kupp",LAR,"WR15","11","88","49.2","23.7","-"
"45",5,"Matthew Stafford",LAR,"QB11","16","85","50.5","15.1","-"
"46",5,"Keenan Allen",LAC,"WR16","34","95","50.5","10.3","-"
"47",5,"Diontae Johnson",PIT,"WR17","23","87","51.4","10.8","-"
"48",6,"Jalen Hurts",PHI,"QB12","13","163","47.8","17.6","-"
"49",6,"Mike Evans",TB,"WR18","38","75","53.0","8.6","-"
"50",6,"Amari Cooper",CLE,"WR19","42","112","53.2","11.2","-"
"51",6,"Clyde Edwards-Helaire",KC,"RB17","21","109","53.8","21.1","-"
"52",6,"Justin Fields",CHI,"QB13","9","84","45.6","15.3","-"
"53",6,"Trey Lance",SF,"QB14","11","100","42.3","16.5","-"
"54",6,"Darren Waller",NYG,"TE4","21","100","57.0","21.1","-"
"55",6,"David Montgomery",DET,"RB18","26","77","57.0","12.2","-"
"56",6,"Mark Andrews",BAL,"TE5","18","86","57.1","24.5","-"
"57",6,"Cam Akers",LAR,"RB19","13","181","55.3","34.5","-"
"58",6,"Deebo Samuel",SF,"WR20","15","106","62.7","29.9","-"
"59",6,"Josh Jacobs",LV,"RB20","32","96","65.2","10.7","-"
"60",6,"Ryan Tannehill",TEN,"QB15","31","116","61.3","14.8","-"
"61",6,"Jerry Jeudy",DEN,"WR21","45","116","66.1","12.9","-"
"62",6,"Tua Tagovailoa",MIA,"QB16","35","95","61.7","11.2","-"
"63",6,"Allen Robinson II",PIT,"WR22","35","126","66.4","28.5","-"
"64",6,"Michael Thomas",NO,"WR23","22","197","67.2","32.4","-"
"65",6,"Miles Sanders",CAR,"RB21","29","115","67.9","18.3","-"
"66",6,"Jaylen Waddle",MIA,"WR24","26","199","68.2","34.8","-"
"67",6,"Brandon Aiyuk",SF,"WR25","32","140","68.6","20.1","-"
"68",6,"Deshaun Watson",CLE,"QB17","6","159","56.8","27.9","-"
"69",6,"DeVonta Smith",PHI,"WR26","42","141","66.0","16.2","-"
"70",7,"Chase Claypool",CHI,"WR27","42","164","73.4","19.5","-"
"71",7,"Travis Etienne Jr.",JAC,"RB22","33","279","70.2","33.2","-"
"72",7,"T.J. Hockenson",MIN,"TE6","23","102","75.8","11.6","-"
"73",7,"Courtland Sutton",DEN,"WR28","51","124","76.0","17.2","-"
"74",7,"Kareem Hunt",FA,"RB23","60","120","78.4","12.8","-"
"75",7,"Tyler Lockett",SEA,"WR29","52","118","83.2","12.6","-"
"76",7,"Robert Woods",HOU,"WR30","42","146","83.5","22.0","-"
"77",7,"Zach Wilson",NYJ,"QB18","40","147","76.3","18.9","-"
"78",7,"Kirk Cousins",MIN,"QB19","49","119","82.0","13.6","-"
"79",7,"Baker Mayfield",TB,"QB20","29","139","82.4","21.0","-"
"80",7,"Carson Wentz",FA,"QB21","61","148","87.5","16.6","-"
"81",7,"Kenny Golladay",FA,"WR31","47","197","89.8","34.4","-"
"82",7,"AJ Dillon",GB,"RB24","52","136","92.4","18.5","-"
"83",7,"James Robinson",NE,"RB25","52","142","93.6","22.0","-"
"84",7,"Odell Beckham Jr.",BAL,"WR32","57","136","94.0","16.9","-"
"85",7,"Michael Pittman Jr.",IND,"WR33","44","166","94.4","31.9","-"
"86",7,"Dallas Goedert",PHI,"TE7","72","138","95.1","12.8","-"
"87",7,"JuJu Smith-Schuster",NE,"WR34","59","151","95.8","21.2","-"
"88",8,"Damien Harris",BUF,"RB26","65","132","96.7","14.4","-"
"89",8,"Chris Carson",FA,"RB27","55","197","97.5","35.1","-"
"90",8,"Michael Carter",NYJ,"RB28","47","182","89.6","22.1","-"
"91",8,"Noah Fant",SEA,"TE8","78","143","98.6","15.3","-"
"92",8,"Elijah Moore",CLE,"WR35","38","231","94.9","39.5","-"
"93",8,"Rashod Bateman",BAL,"WR36","51","209","95.9","31.5","-"
"94",8,"Adam Thielen",CAR,"WR37","54","176","101.2","21.3","-"
"95",8,"Chase Edmonds",TB,"RB29","75","129","101.5","11.7","-"
"96",8,"Derek Carr",NO,"QB22","57","148","94.7","21.5","-"
"97",8,"Leonard Fournette",FA,"RB30","52","181","104.9","24.7","-"
"98",8,"DJ Chark Jr.",CAR,"WR38","54","191","105.3","28.9","-"
"99",8,"Julio Jones",FA,"WR39","45","192","106.0","39.2","-"
