"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"QB1","10","27","3 out of 5 stars","-"
"2",1,"Josh Allen",BUF,"QB2","13","27","3 out of 5 stars","-"
"3",1,"Jalen Hurts",PHI,"QB3","10","24","3 out of 5 stars","-"
"4",1,"Justin Jefferson",MIN,"WR1","13","23","3 out of 5 stars","-"
"5",2,"Joe Burrow",CIN,"QB4","7","26","3 out of 5 stars","-"
"6",2,"Bijan Robinson",ATL,"RB1","11","21","4 out of 5 stars","-"
"7",2,"Ja'Marr Chase",CIN,"WR2","7","23","4 out of 5 stars","-"
"8",2,"Jonathan Taylor",IND,"RB2","11","24","3 out of 5 stars","-"
"9",2,"Justin Herbert",LAC,"QB5","5","25","3 out of 5 stars","-"
"10",2,"CeeDee Lamb",DAL,"WR3","7","24","2 out of 5 stars","-"
"11",2,"Breece Hall",NYJ,"RB3","7","21","3 out of 5 stars","-"
"12",3,"Trevor Lawrence",JAC,"QB6","9","23","3 out of 5 stars","-"
"13",3,"A.J. Brown",PHI,"WR4","10","25","3 out of 5 stars","-"
"14",3,"Christian McCaffrey",SF,"RB4","9","26","4 out of 5 stars","-"
"15",3,"Saquon Barkley",NYG,"RB5","13","26","2 out of 5 stars","-"
"16",3,"Garrett Wilson",NYJ,"WR5","7","22","3 out of 5 stars","-"
"17",3,"Jaylen Waddle",MIA,"WR6","10","24","3 out of 5 stars","-"
"18",3,"Amon-Ra St. Brown",DET,"WR7","9","23","3 out of 5 stars","-"
"19",4,"Lamar Jackson",BAL,"QB7","13","26","3 out of 5 stars","-"
"20",4,"Travis Etienne Jr.",JAC,"RB6","9","24","2 out of 5 stars","-"
"21",4,"Jahmyr Gibbs",DET,"RB7","9","21","5 out of 5 stars","-"
"22",4,"Justin Fields",CHI,"QB8","13","24","5 out of 5 stars","-"
"23",4,"Chris Olave",NO,"WR8","11","22","4 out of 5 stars","-"
"24",4,"Kyle Pitts",ATL,"TE1","11","22","3 out of 5 stars","-"
"25",4,"Tyreek Hill",MIA,"WR9","10","29","3 out of 5 stars","-"
"26",4,"Tee Higgins",CIN,"WR10","7","24","4 out of 5 stars","-"
"27",4,"Stefon Diggs",BUF,"WR11","13","29","2 out of 5 stars","-"
"28",4,"Josh Jacobs",LV,"RB8","13","25","3 out of 5 stars","-"
"29",4,"Kenneth Walker III",SEA,"RB9","5","22","2 out of 5 stars","-"
"30",4,"Tony Pollard",DAL,"RB10","7","26","3 out of 5 stars","-"
"31",4,"DeVonta Smith",PHI,"WR12","10","24","3 out of 5 stars","-"
"32",5,"Drake London",ATL,"WR13","11","21","4 out of 5 stars","-"
"33",5,"Deshaun Watson",CLE,"QB9","5","27","2 out of 5 stars","-"
"34",5,"DK Metcalf",SEA,"WR14","5","25","3 out of 5 stars","-"
"35",5,"Cooper Kupp",LAR,"WR15","10","29","3 out of 5 stars","-"
"36",5,"Kyler Murray",ARI,"QB10","14","25","2 out of 5 stars","-"
"37",5,"Davante Adams",LV,"WR16","13","30","2 out of 5 stars","-"
"38",5,"Dak Prescott",DAL,"QB11","7","29","2 out of 5 stars","-"
"39",5,"Travis Kelce",KC,"TE2","10","33","4 out of 5 stars","-"
"40",5,"Anthony Richardson",IND,"QB12","11","21","4 out of 5 stars","-"
"41",5,"Mark Andrews",BAL,"TE3","13","27","4 out of 5 stars","-"
"42",5,"Jaxon Smith-Njigba",SEA,"WR17","5","21","3 out of 5 stars","-"
"43",5,"Austin Ekeler",LAC,"RB11","5","28","3 out of 5 stars","-"
"44",6,"Najee Harris",PIT,"RB12","6","25","3 out of 5 stars","-"
"45",6,"Rhamondre Stevenson",NE,"RB13","11","25","2 out of 5 stars","-"
"46",6,"DJ Moore",CHI,"WR18","13","26","3 out of 5 stars","-"
"47",6,"Bryce Young",CAR,"QB13","7","21","4 out of 5 stars","-"
"48",6,"Chris Godwin",TB,"WR19","5","27","4 out of 5 stars","-"
"49",6,"C.J. Stroud",HOU,"QB14","7","21","3 out of 5 stars","-"
"50",6,"Christian Watson",GB,"WR20","6","24","3 out of 5 stars","-"
"51",6,"Nick Chubb",CLE,"RB14","5","27","3 out of 5 stars","-"
"52",6,"Tua Tagovailoa",MIA,"QB15","10","25","2 out of 5 stars","-"
"53",6,"Michael Pittman Jr.",IND,"WR21","11","25","4 out of 5 stars","-"
"54",6,"Deebo Samuel",SF,"WR22","9","27","3 out of 5 stars","-"
"55",6,"Javonte Williams",DEN,"RB15","9","23","4 out of 5 stars","-"
"56",6,"Jordan Addison",MIN,"WR23","13","21","3 out of 5 stars","-"
"57",6,"Dameon Pierce",HOU,"RB16","7","23","3 out of 5 stars","-"
"58",6,"Daniel Jones",NYG,"QB16","13","26","1 out of 5 stars","-"
"59",6,"Jerry Jeudy",DEN,"WR24","9","24","2 out of 5 stars","-"
"60",6,"Terry McLaurin",WAS,"WR25","14","27","3 out of 5 stars","-"
"61",6,"Treylon Burks",TEN,"WR26","7","23","3 out of 5 stars","-"
"62",6,"Brandon Aiyuk",SF,"WR27","9","25","3 out of 5 stars","-"
"63",6,"Quentin Johnston",LAC,"WR28","5","21","3 out of 5 stars","-"
"64",7,"Jahan Dotson",WAS,"WR29","14","23","3 out of 5 stars","-"
"65",7,"J.K. Dobbins",BAL,"RB17","13","24","3 out of 5 stars","-"
"66",7,"T.J. Hockenson",MIN,"TE4","13","25","3 out of 5 stars","-"
"67",7,"Derrick Henry",TEN,"RB18","7","29","4 out of 5 stars","-"
"68",7,"Kirk Cousins",MIN,"QB17","13","34","4 out of 5 stars","-"
"69",7,"Jameson Williams",DET,"WR30","9","22","3 out of 5 stars","-"
"70",7,"Rachaad White",TB,"RB19","5","24","3 out of 5 stars","-"
"71",7,"Marquise Brown",ARI,"WR31","14","25","3 out of 5 stars","-"
"72",7,"Zay Flowers",BAL,"WR32","13","22","3 out of 5 stars","-"
"73",7,"George Pickens",PIT,"WR33","6","22","3 out of 5 stars","-"
"74",7,"D'Andre Swift",PHI,"RB20","10","24","1 out of 5 stars","-"
"75",7,"Diontae Johnson",PIT,"WR34","6","26","3 out of 5 stars","-"
"76",7,"Miles Sanders",CAR,"RB21","7","26","4 out of 5 stars","-"
"77",7,"Christian Kirk",JAC,"WR35","9","26","4 out of 5 stars","-"
"78",7,"Joe Mixon",CIN,"RB22","7","26","3 out of 5 stars","-"
"79",7,"Aaron Jones",GB,"RB23","6","28","4 out of 5 stars","-"
"80",7,"Geno Smith",SEA,"QB18","5","32","2 out of 5 stars","-"
"81",7,"Amari Cooper",CLE,"WR36","5","28","3 out of 5 stars","-"
"82",7,"Cam Akers",LAR,"RB24","10","23","3 out of 5 stars","-"
"83",7,"George Kittle",SF,"TE5","9","29","3 out of 5 stars","-"
"84",7,"Dallas Goedert",PHI,"TE6","10","28","2 out of 5 stars","-"
"85",7,"Calvin Ridley",JAC,"WR37","9","28","4 out of 5 stars","-"
"86",7,"Jared Goff",DET,"QB19","9","28","4 out of 5 stars","-"
"87",8,"Dalvin Cook",MIN,"RB25","13","27","5 out of 5 stars","-"
"88",8,"Kenny Pickett",PIT,"QB20","6","24","2 out of 5 stars","-"
"89",8,"Russell Wilson",DEN,"QB21","9","34","4 out of 5 stars","-"
"90",8,"Trey Lance",SF,"QB22","9","23","3 out of 5 stars","-"
"91",8,"DeAndre Hopkins",ARI,"WR38","14","30","3 out of 5 stars","-"
"92",8,"Rashod Bateman",BAL,"WR39","13","23","3 out of 5 stars","-"
"93",8,"Isiah Pacheco",KC,"RB26","10","23","4 out of 5 stars","-"
"94",8,"Aaron Rodgers",NYJ,"QB23","7","39","2 out of 5 stars","-"
"95",8,"Pat Freiermuth",PIT,"TE7","6","24","4 out of 5 stars","-"
"96",8,"Zach Charbonnet",SEA,"RB27","5","22","2 out of 5 stars","-"
"97",8,"David Montgomery",DET,"RB28","9","25","5 out of 5 stars","-"
"98",8,"Mike Williams",LAC,"WR40","5","28","3 out of 5 stars","-"
"99",8,"Jordan Love",GB,"QB24","6","24","5 out of 5 stars","-"
"100",8,"Dalton Kincaid",BUF,"TE8","13","23","3 out of 5 stars","-"
