1	2593	Aaron Rodgers
2	7242	Drew Brees
3	13320	Cam Newton
4	4314	Tom Brady
5	9038	Matthew Stafford P
6	4932	Eli Manning
7	3867	Tony Romo
8	732	Matt Ryan
9	8244	Philip Rivers
10	8415	Mark Sanchez
11	9447	Michael Vick
12	8283	Ryan Fitzpatrick
13	3807	Ben Roethlisberger
14	6739	Alex Smith O
15	12841	Andy Dalton
16	9226	Josh Freeman
17	611	Joe Flacco
18	11196	Tim Tebow
19	1034	Matt Hasselbeck
20	11047	Colt McCoy
21	4097	Tarvaris Jackson
22	4633	Matt Schaub
23	5834	Matt Moore
24	11952	Rex Grossman
25	8972	Jay Cutler
26	2428	Carson Palmer
27	13270	Christian Ponder
28	12982	Blaine Gabbert
29	11567	John Skelton
30	7034	Kevin Kolb
31	8723	Matt Cassel
32	11527	Sam Bradford
33	8703	Kyle Orton
34	11859	Jason Campbell
35	8621	Curtis Painter
36	7015	Donovan McNabb
37	2405	Chad Henne
38	8590	Dan Orlovsky
39	11942	John Beck
40	12925	Jake Locker
41	3895	Matt Flynn
42	12956	TJ Yates
43	4124	Vince Young
44	5054	Kellen Clemens
45	11755	Seneca Wallace
46	7755	Caleb Hanie
47	12597	Tyler Palko
48	5282	Josh McCown O
49	3108	Kerry Collins
50	12070	AJ Feeley
51	6489	Josh Johnson
52	8844	Stephen McGee
53	12137	Charlie Whitehurst
54	11741	Jake Delhomme
55	8769	Bruce Gradkowski
56	12592	Richard Bartel
57	12201	Matt Leinart
58	5486	Charlie Batch
59	8064	Chris Redman
60	11858	Kyle Boller
61	6276	Luke McCown
62	8842	Jon Kitna
63	12485	JP Losman
64	11992	Shaun Hill
65	13443	Colin Kaepernick
66	11688	Mark Brunell
67	12831	Tyrod Taylor
68	9902	Chase Daniel
69	8358	Brian Hoyer
70	11323	Mike Kafka
71	8673	Tom Brandstater
71	10190	Rudy Carpenter
73	12083	Derek Anderson
74	4270	Billy Volek
GB	QB	15	342	501	68.3	4637	9.3	45	6	122.48	60	257	4.3	3	26.5	397.18
NO	QB	16	468	657	71.2	5476	8.3	46	14	110.63	21	86	4.1	1	24.5	391.64
CAR	QB	16	310	517	60	4051	7.8	21	17	84.54	125	709	5.7	14	23.2	370.64
NE	QB	16	401	611	65.6	5235	8.6	39	12	105.57	43	109	2.5	3	22.9	366.3
DET	QB	16	421	663	63.5	5038	7.6	41	16	97.22	22	78	3.5	0	21.5	343.32
NYG	QB	16	358	588	60.9	4910	8.4	29	16	92.72	35	15	0.4	1	17.5	279.9
DAL	QB	16	346	522	66.3	4184	8	31	10	102.53	22	46	2.1	1	17.2	275.96
ATL	QB	16	347	566	61.3	4177	7.4	29	12	92.17	37	84	2.3	2	17.1	273.48
LAC	QB	16	366	582	62.9	4624	7.9	27	20	88.74	26	36	1.4	1	15.9	254.56
NYJ	QB	16	308	542	56.8	3474	6.4	26	18	78.3	37	103	2.8	6	14.8	237.26
PHI	QB	13	253	423	59.8	3303	7.8	18	14	84.86	74	590	8	1	17.9	233.12
BUF	QB	16	353	569	62	3832	6.7	24	23	79.06	56	208	3.7	0	13.9	222.08
PIT	QB	15	324	513	63.2	4077	7.9	21	14	90.1	31	70	2.3	0	14.4	216.08
SF	QB	16	274	446	61.4	3150	7.1	17	5	90.74	52	179	3.4	2	13.1	209.9
CIN	QB	16	300	516	58.1	3398	6.6	20	13	80.39	37	152	4.1	1	12.9	207.12
TB	QB	15	346	551	62.8	3592	6.5	16	22	74.62	55	238	4.3	4	13.7	205.08
BAL	QB	16	312	542	57.6	3610	6.7	20	12	80.88	40	90	2.2	1	12.7	203.6
DEN	QB	14	126	272	46.3	1729	6.4	12	7	71.16	120	666	5.6	6	14.3	199.76
TEN	QB	16	319	518	61.6	3571	6.9	18	14	82.45	20	52	2.6	0	11.9	190.04
