1	15048	Travis Kelce
2	16964	Darren Waller
3	16656	Logan Thomas
4	19491	Robert Tonyan
5	20805	T.J. Hockenson
6	19803	Mark Andrews
7	19853	Mike Gesicki
8	19238	Taysom Hill
9	10974	Rob Gronkowski
9	20753	Noah Fant
11	19843	Hayden Hurst
12	19920	Dalton Schultz Q
13	17975	Hunter Henry
14	11488	Jimmy Graham
15	16451	Eric Ebron
16	18912	Evan Engram
17	18990	Jonnu Smith
18	18032	Tyler Higbee
19	8534	Jared Cook
20	19063	George Kittle Q
21	19863	Dallas Goedert
22	17963	Austin Hooper
23	20949	Irv Smith Jr.
24	19659	Dan Arnold
25	18935	Gerald Everett
26	19903	Jordan Akins
26	19296	Anthony Firkser
28	15965	Trey Burton
29	14918	Tyler Eifert
30	18900	Mo Alie-Cox
31	20931	Drew Sample Q
32	14856	Zach Ertz
33	15247	Darren Fells
34	19947	Chris Herndon
35	15100	Jordan Reed
36	16491	Richard Rodgers
37	16593	Cameron Brate
38	20850	Dawson Knox
39	19281	Jacob Hollister
40	13275	Kyle Rudolph
41	15602	Jack Doyle
42	21772	Cole Kmet
43	21783	Harrison Bryant Q
44	19950	Will Dissly
45	19943	Durham Smythe
46	16933	James O'Shaughnessy
47	1658	Greg Olsen
48	18876	David Njoku
49	20361	Ross Dwelley
50	18931	Adam Shaheen IR
51	19988	Tyler Conklin
52	20905	Donald Parham Jr. Q
53	19304	Pharaoh Brown
54	16846	Tyler Kroft O
55	19910	Ian Thomas
56	16920	Jesse James IR
57	3061	Marcedes Lewis
58	21786	Adam Trautman
59	18901	O.J. Howard
60	16931	Nick Boyle
61	20884	Foster Moreau
62	722	Jason Witten
63	20069	Ryan Izzo
64	18019	Nick Vannett
65	20952	Jace Sternberger
66	20946	Kaden Smith
67	21794	Albert Okwuegbunam
68	15239	Vance McDonald
69	16816	Maxx Williams
70	17005	Geoff Swaim
71	19176	Darrell Daniels
72	16917	C.J. Uzomah Q
73	16878	Blake Bell IR
74	19973	Troy Fumagalli
75	16903	MyCole Pruitt
76	12777	Lee Smith
77	18262	Stephen Anderson
77	15866	Josh Hill
79	14985	Ryan Griffin
80	13016	Virgil Green
81	13370	Luke Stocker
82	21771	Devin Asiasi Q
83	15305	Demetrius Harris
84	17762	Chris Manhertz
85	22477	Dominique Dafney
85	20332	Deon Yelder
87	19219	Cethan Carter Q
87	20563	Nick Keizer
89	15378	Levine Toilolo
90	19165	Johnny Mundt
91	21738	Juwan Johnson
92	19542	Colin Thompson
93	20020	Jordan Thomas
93	19415	Jason Croom
95	20506	Tanner Hudson
96	22119	Charlie Woerner
97	20974	Kahale Warring
98	21728	Lawrence Cager
98	20662	Jaeden Graham
100	21683	Hunter Bryant
101	17219	Daniel Brown
102	21808	Dalton Keene
102	19035	Eric Saubert
104	21278	Stephen Carlson
105	22284	Ben Ellefson
106	21807	Colby Parkinson
107	21742	Antonio Gandy-Golden
108	18997	Jake Butt
109	22151	Tommy Stevens
109	15640	Derek Carrier
111	15263	Luke Willson
111	21798	Josiah Deguara
111	19457	Blake Jarwin
114	18094	Temarrick Hemingway
115	19067	Jeremy Sprinkle
115	21161	Brandon Dillon
117	20977	Trevon Wesco
118	20893	Isaac Nauta
119	20174	Marcus Baugh
120	19410	Ricky Seals-Jones
120	21796	Noah Togiai
120	22138	Tyler Davis
120	18498	J.P. Holtz
120	19335	Antony Auclair
120	21781	Sean McKeon
120	21678	Brycen Hopkins
120	20770	Zach Gentry
120	17223	Eric Tomlinson
120	21227	Andrew Beck
120	22458	Farrod Green
120	19075	Mason Schreck
120	18716	Garrett Griffin
120	20797	Daniel Helm
120	19494	Evan Baylis
120	21409	Nate Becker
120	21865	Stephen Sullivan
120	17750	Ross Travis
120	20993	Caleb Wilson
120	19559	Sean Culkin
120	20134	Kevin Rader
120	18057	Seth DeValve
120	21344	Hale Hentges
120	15974	Jordan Matthews IR
120	21158	Matt Sokol
KC	TE	15	145	105	72.4	1416	11	45	9.8	13.5	0	0	0	0	1	1	20.9	312.76
LV	TE	16	145	107	73.8	1196	9	38	8.2	11.2	0	0	0	0	2	2	17.4	278.6
WAS	TE	16	110	72	65.5	670	6	30	6.1	9.3	3	5	1.7	0	0	0	11	176.62
GB	TE	16	59	52	88.1	586	11	45	9.9	11.3	0	0	0	0	0	0	11	176.6
DET	TE	16	101	67	66.3	723	6	51	7.2	10.8	1	0	0	0	1	1	11	175.3
BAL	TE	14	88	58	65.9	701	7	39	8	12.1	0	0	0	0	2	0	12.2	170.1
MIA	TE	15	85	53	62.4	703	6	70	8.3	13.3	0	0	0	0	0	0	10.6	159.3
NO	TE	16	13	8	61.5	98	1	21	7.5	12.2	87	457	5.3	8	10	5	9.8	156.62
TB	TE	16	77	45	58.4	623	7	48	8.1	13.8	0	0	0	0	1	0	9.3	149.3
DEN	TE	15	93	62	66.7	673	3	37	7.2	10.9	0	0	0	0	0	0	10	149.3
ATL	TE	16	88	56	63.6	571	6	42	6.5	10.2	0	0	0	0	0	0	9.3	149.1
DAL	TE	16	89	63	70.8	615	4	28	6.9	9.8	0	0	0	0	1	1	9.2	146.5
LAC	TE	14	93	60	64.5	613	4	33	6.6	10.2	0	0	0	0	0	0	10.4	145.3
CHI	TE	16	76	50	65.8	456	8	30	6	9.1	0	0	0	0	1	0	9	143.6
PIT	TE	15	91	56	61.5	558	5	27	6.1	10	0	0	0	0	1	1	9.5	141.8
NYG	TE	16	109	63	57.8	654	1	53	6	10.4	6	26	4.3	1	1	1	8.8	141
TEN	TE	15	65	41	63.1	448	8	63	6.9	10.9	2	4	2	1	0	0	9.3	140.2
LAR	TE	15	60	44	73.3	521	5	44	8.7	11.8	1	1	1	0	0	0	8.5	128.2
NO	TE	15	60	37	61.7	504	7	46	8.4	13.6	0	0	0	0	1	1	8.5	127.4
SF	TE	8	63	48	76.2	634	2	44	10.1	13.2	2	17	8.5	0	0	0	15.6	125.1
PHI	TE	11	65	46	70.8	524	3	41	8.1	11.4	0	0	0	0	0	0	10.6	116.4
CLE	TE	13	70	46	65.7	435	4	36	6.2	9.5	0	0	0	0	0	0	8.7	113.5
MIN	TE	13	43	30	69.8	365	5	36	8.5	12.2	0	0	0	0	0	0	7.6	98.5
ARI	TE	16	45	31	68.9	438	4	59	9.7	14.1	0	0	0	0	2	1	6	96.8
LAR	TE	16	62	41	66.1	417	1	40	6.7	10.2	1	2	2	1	1	1	5.8	92.9
HOU	TE	13	49	37	75.5	403	1	26	8.2	10.9	1	4	4	0	0	0	6.4	83.7
TEN	TE	16	53	39	73.6	387	1	45	7.3	9.9	0	0	0	0	0	0	5.2	83.7
